,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
37,WizKid,Essence (feat. Justin Bieber & Tems),0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,audio_features,1mSdbey7RstGLY2udgXv74,spotify:track:1mSdbey7RstGLY2udgXv74,https://api.spotify.com/v1/tracks/1mSdbey7RstGLY2udgXv74,https://api.spotify.com/v1/audio-analysis/1mSdbey7RstGLY2udgXv74,263289,4
38,Koffee,Toast,0.906,0.638,10,-7.917,0,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,audio_features,3VEpRXloN4rbzNRPSQzZFW,spotify:track:3VEpRXloN4rbzNRPSQzZFW,https://api.spotify.com/v1/tracks/3VEpRXloN4rbzNRPSQzZFW,https://api.spotify.com/v1/audio-analysis/3VEpRXloN4rbzNRPSQzZFW,191502,4
39,SAINt JHN,I Can Fvcking Tell,0.689,0.38,10,-8.491,1,0.0324,0.72,1.62e-06,0.153,0.234,97.991,audio_features,3vkJQv4A2LPtVQYJbWhIQ0,spotify:track:3vkJQv4A2LPtVQYJbWhIQ0,https://api.spotify.com/v1/tracks/3vkJQv4A2LPtVQYJbWhIQ0,https://api.spotify.com/v1/audio-analysis/3vkJQv4A2LPtVQYJbWhIQ0,203919,4
40,Juice WRLD,Lucid Dreams,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4
41,Nebezao,Smash,0.765,0.915,11,-3.176,1,0.094,0.0141,0.212,0.512,0.47,117.019,audio_features,0VLxbNBLN4qQW8esgArA0p,spotify:track:0VLxbNBLN4qQW8esgArA0p,https://api.spotify.com/v1/tracks/0VLxbNBLN4qQW8esgArA0p,https://api.spotify.com/v1/audio-analysis/0VLxbNBLN4qQW8esgArA0p,220108,4
42,MAX BARSKIH,BESTSELLER,0.677,0.885,9,-6.313,0,0.0781,0.0483,0,0.302,0.207,118.071,audio_features,6rnmvTLg2KnF0rZUCgRWHH,spotify:track:6rnmvTLg2KnF0rZUCgRWHH,https://api.spotify.com/v1/tracks/6rnmvTLg2KnF0rZUCgRWHH,https://api.spotify.com/v1/audio-analysis/6rnmvTLg2KnF0rZUCgRWHH,223220,4
43,JVCK JAMES,4AM,0.597,0.59,6,-7.599,1,0.129,0.431,0.00162,0.111,0.495,91.01,audio_features,5wfB2LxNDCW60gdcvGGfid,spotify:track:5wfB2LxNDCW60gdcvGGfid,https://api.spotify.com/v1/tracks/5wfB2LxNDCW60gdcvGGfid,https://api.spotify.com/v1/audio-analysis/5wfB2LxNDCW60gdcvGGfid,209502,4
44,Bazzi,I.F.L.Y.,0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,audio_features,4a6q8CR2hzLk2plDkSxkfD,spotify:track:4a6q8CR2hzLk2plDkSxkfD,https://api.spotify.com/v1/tracks/4a6q8CR2hzLk2plDkSxkfD,https://api.spotify.com/v1/audio-analysis/4a6q8CR2hzLk2plDkSxkfD,165714,4
45,dj poolboi,don't be so hard on yourself,0.717,0.52,7,-9.393,1,0.0361,0.101,0.941,0.0732,0.178,100.009,audio_features,0j69d3zENO7ZVjplwetmQp,spotify:track:0j69d3zENO7ZVjplwetmQp,https://api.spotify.com/v1/tracks/0j69d3zENO7ZVjplwetmQp,https://api.spotify.com/v1/audio-analysis/0j69d3zENO7ZVjplwetmQp,145000,4
46,rum.gold,Call It What You Want,0.494,0.208,11,-14.595,0,0.0398,0.874,0.00094,0.0926,0.26,83.934,audio_features,4ZxL5Fi5K0nkyTmsbwPdsj,spotify:track:4ZxL5Fi5K0nkyTmsbwPdsj,https://api.spotify.com/v1/tracks/4ZxL5Fi5K0nkyTmsbwPdsj,https://api.spotify.com/v1/audio-analysis/4ZxL5Fi5K0nkyTmsbwPdsj,234905,4
47,The Blaze,Somewhere (feat. Octavian),0.48,0.417,1,-11.974,1,0.0482,0.273,0.127,0.111,0.0948,129.948,audio_features,1Tzq2as6CZlNfwRoYXM5JK,spotify:track:1Tzq2as6CZlNfwRoYXM5JK,https://api.spotify.com/v1/tracks/1Tzq2as6CZlNfwRoYXM5JK,https://api.spotify.com/v1/audio-analysis/1Tzq2as6CZlNfwRoYXM5JK,215147,4
48,Lauren Jauregui,50ft.,0.559,0.501,0,-7.049,1,0.315,0.78,4.1e-05,0.107,0.341,191.54,audio_features,1wiphSU5URcMkpMoGK5mFO,spotify:track:1wiphSU5URcMkpMoGK5mFO,https://api.spotify.com/v1/tracks/1wiphSU5URcMkpMoGK5mFO,https://api.spotify.com/v1/audio-analysis/1wiphSU5URcMkpMoGK5mFO,185911,4
49,Kanye West,Moon,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,audio_features,7CC6UbCs4iGsePSzFxYxNn,spotify:track:7CC6UbCs4iGsePSzFxYxNn,https://api.spotify.com/v1/tracks/7CC6UbCs4iGsePSzFxYxNn,https://api.spotify.com/v1/audio-analysis/7CC6UbCs4iGsePSzFxYxNn,156091,4
50,Kendrick Lamar,Swimming Pools (Drank),0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,audio_features,6REbwUNlppTfcnV4d4ZoZi,spotify:track:6REbwUNlppTfcnV4d4ZoZi,https://api.spotify.com/v1/tracks/6REbwUNlppTfcnV4d4ZoZi,https://api.spotify.com/v1/audio-analysis/6REbwUNlppTfcnV4d4ZoZi,247800,4
51,Snoop Dogg,Drop It Like It's Hot,0.888,0.632,1,-3.872,1,0.219,0.19,0,0.101,0.662,91.979,audio_features,2NBQmPrOEEjA8VbeWOQGxO,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO,https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO,266067,4
52,Daniel Caesar,A Cappella,0.191,0.314,9,-10.949,0,0.0347,0.862,2.57e-06,0.171,0.121,70.03,audio_features,3XlzpaHje8MlpaGe8twgr7,spotify:track:3XlzpaHje8MlpaGe8twgr7,https://api.spotify.com/v1/tracks/3XlzpaHje8MlpaGe8twgr7,https://api.spotify.com/v1/audio-analysis/3XlzpaHje8MlpaGe8twgr7,88916,5
