,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target
22,Jack Harlow,Dua Lipa,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,audio_features,0LnS7aOdOdI1dNKZqdOLz4,spotify:track:0LnS7aOdOdI1dNKZqdOLz4,https://api.spotify.com/v1/tracks/0LnS7aOdOdI1dNKZqdOLz4,https://api.spotify.com/v1/audio-analysis/0LnS7aOdOdI1dNKZqdOLz4,135053,4,0
23,Luude,Down Under (feat. Colin Hay),0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966,audio_features,7AVyve7cFYTd51ha5i9kE2,spotify:track:7AVyve7cFYTd51ha5i9kE2,https://api.spotify.com/v1/tracks/7AVyve7cFYTd51ha5i9kE2,https://api.spotify.com/v1/audio-analysis/7AVyve7cFYTd51ha5i9kE2,158774,4,1
24,Doja Cat,Woman,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4,1
25,Wiz Khalifa,The Thrill,0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,audio_features,4wqzOaLxiCRy2Et8tRyNSX,spotify:track:4wqzOaLxiCRy2Et8tRyNSX,https://api.spotify.com/v1/tracks/4wqzOaLxiCRy2Et8tRyNSX,https://api.spotify.com/v1/audio-analysis/4wqzOaLxiCRy2Et8tRyNSX,234334,4,0
26,Tate McRae,she's all i wanna be,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07E-06,0.117,0.651,160.036,audio_features,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/audio-analysis/0IuVhCflrQPMGRrOyoY5RW,206772,4,1
27,bbno$,edamame (feat. Rich Brian),0.815,0.848,4,-4.704,0,0.115,0.023,0.000162,0.0265,0.684,106.032,audio_features,1uMHCAyGmHqyygoNRuo7MV,spotify:track:1uMHCAyGmHqyygoNRuo7MV,https://api.spotify.com/v1/tracks/1uMHCAyGmHqyygoNRuo7MV,https://api.spotify.com/v1/audio-analysis/1uMHCAyGmHqyygoNRuo7MV,133707,4,1
28,Megan Thee Stallion,Sweetest Pie,0.814,0.628,7,-7.178,1,0.221,0.167,0,0.101,0.677,123.977,audio_features,7mFj0LlWtEJaEigguaWqYh,spotify:track:7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/tracks/7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/audio-analysis/7mFj0LlWtEJaEigguaWqYh,201334,4,1
29,Lil Nas X,THATS WHAT I WANT,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4,0
30,Camila Cabello,Bam Bam (feat. Ed Sheeran),0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,4,0
31,Jolyon Petch,Dreams,0.782,0.672,0,-5.913,1,0.0337,0.153,0.0138,0.165,0.961,123.982,audio_features,2J3TcdKkdU42R9zWqWi6LJ,spotify:track:2J3TcdKkdU42R9zWqWi6LJ,https://api.spotify.com/v1/tracks/2J3TcdKkdU42R9zWqWi6LJ,https://api.spotify.com/v1/audio-analysis/2J3TcdKkdU42R9zWqWi6LJ,198629,4,0
32,Jnr Choi,TO THE MOON,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,audio_features,5vUnjhBzRJJIAOJPde6zDx,spotify:track:5vUnjhBzRJJIAOJPde6zDx,https://api.spotify.com/v1/tracks/5vUnjhBzRJJIAOJPde6zDx,https://api.spotify.com/v1/audio-analysis/5vUnjhBzRJJIAOJPde6zDx,152137,4,0
33,Adele,Oh My God,0.534,0.725,1,-3.906,1,0.046,0.091,0,0.0264,0.55,88.098,audio_features,3Kkjo3cT83cw09VJyrLNwX,spotify:track:3Kkjo3cT83cw09VJyrLNwX,https://api.spotify.com/v1/tracks/3Kkjo3cT83cw09VJyrLNwX,https://api.spotify.com/v1/audio-analysis/3Kkjo3cT83cw09VJyrLNwX,225149,4,0
34,RÜFÜS DU SOL,On My Knees,0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044,audio_features,7ABUiQBM8cjktnp6QLTTaT,spotify:track:7ABUiQBM8cjktnp6QLTTaT,https://api.spotify.com/v1/tracks/7ABUiQBM8cjktnp6QLTTaT,https://api.spotify.com/v1/audio-analysis/7ABUiQBM8cjktnp6QLTTaT,261001,4,0
35,Elley Duhé,MIDDLE OF THE NIGHT,0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3,0
