,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
80,Iggy Pop,Real Wild Child (Wild One),0.59,0.851,4,-11.754,1,0.0297,0.0174,0.0975,0.154,0.968,146.213,audio_features,6ZAwEE4kTdtvyE66iRhFxR,spotify:track:6ZAwEE4kTdtvyE66iRhFxR,https://api.spotify.com/v1/tracks/6ZAwEE4kTdtvyE66iRhFxR,https://api.spotify.com/v1/audio-analysis/6ZAwEE4kTdtvyE66iRhFxR,218307,4,Terry
81,Fatboy Slim,The Rockafeller Skank,0.666,0.992,7,-6.701,1,0.25,0.0111,0.00437,0.22,0.0806,152.589,audio_features,48JrHJdke53Te8dQ9aWzvV,spotify:track:48JrHJdke53Te8dQ9aWzvV,https://api.spotify.com/v1/tracks/48JrHJdke53Te8dQ9aWzvV,https://api.spotify.com/v1/audio-analysis/48JrHJdke53Te8dQ9aWzvV,413880,4,Terry
82,The Dandy Warhols,We Used To Be Friends,0.712,0.665,6,-4.878,0,0.0266,7.18E-05,0.192,0.306,0.594,105.284,audio_features,7hpFYWL3cw5m4y70cce7Zb,spotify:track:7hpFYWL3cw5m4y70cce7Zb,https://api.spotify.com/v1/tracks/7hpFYWL3cw5m4y70cce7Zb,https://api.spotify.com/v1/audio-analysis/7hpFYWL3cw5m4y70cce7Zb,199960,4,Terry
83,The Dandy Warhols,Bohemian Like You,0.584,0.931,9,-6.158,1,0.0344,0.00315,0.772,0.133,0.694,131.275,audio_features,0yEhNqCwEfy8LHUmnZoHpP,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,https://api.spotify.com/v1/tracks/0yEhNqCwEfy8LHUmnZoHpP,https://api.spotify.com/v1/audio-analysis/0yEhNqCwEfy8LHUmnZoHpP,211707,4,Terry
84,Sweet,Ballroom Blitz,0.626,0.879,6,-6.6,0,0.0777,0.0228,0.000193,0.0471,0.878,108.434,audio_features,6k6j3ZUljY1QLTMbc8VqB0,spotify:track:6k6j3ZUljY1QLTMbc8VqB0,https://api.spotify.com/v1/tracks/6k6j3ZUljY1QLTMbc8VqB0,https://api.spotify.com/v1/audio-analysis/6k6j3ZUljY1QLTMbc8VqB0,240629,4,Terry
85,Joan Jett & The Blackhearts,Do You Wanna Touch Me (Oh Yeah),0.572,0.836,11,-3.159,1,0.0867,0.0247,0.000221,0.159,0.726,127.667,audio_features,6Xprc4GuCejWA3BjU5knyw,spotify:track:6Xprc4GuCejWA3BjU5knyw,https://api.spotify.com/v1/tracks/6Xprc4GuCejWA3BjU5knyw,https://api.spotify.com/v1/audio-analysis/6Xprc4GuCejWA3BjU5knyw,226520,4,Terry
86,The Cars,Just What I Needed,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.40E-05,0.0858,0.69,127.224,audio_features,4alHo6RGd0D3OUbTPExTHN,spotify:track:4alHo6RGd0D3OUbTPExTHN,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,https://api.spotify.com/v1/audio-analysis/4alHo6RGd0D3OUbTPExTHN,225627,4,Terry
87,Naughty Boy,Runnin' (Lose It All),0.319,0.846,6,-6.109,1,0.0796,0.0103,4.11E-05,0.475,0.0784,139.163,audio_features,5yZvaUVyuXfSVUaMumFi6l,spotify:track:5yZvaUVyuXfSVUaMumFi6l,https://api.spotify.com/v1/tracks/5yZvaUVyuXfSVUaMumFi6l,https://api.spotify.com/v1/audio-analysis/5yZvaUVyuXfSVUaMumFi6l,213019,4,Terry
88,ZZ Top,Gimme All Your Lovin',0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,audio_features,0OBwxFLu6Yj61s2OagYbgY,spotify:track:0OBwxFLu6Yj61s2OagYbgY,https://api.spotify.com/v1/tracks/0OBwxFLu6Yj61s2OagYbgY,https://api.spotify.com/v1/audio-analysis/0OBwxFLu6Yj61s2OagYbgY,241080,4,Terry
89,Donna Lewis,I Love You Always Forever,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,audio_features,1PEqh7awkpuepLBSq8ZwqD,spotify:track:1PEqh7awkpuepLBSq8ZwqD,https://api.spotify.com/v1/tracks/1PEqh7awkpuepLBSq8ZwqD,https://api.spotify.com/v1/audio-analysis/1PEqh7awkpuepLBSq8ZwqD,239960,4,Terry
90,James,Laid,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,audio_features,2CdS3DRqWR5LAhy4hM5X9W,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,156667,4,Terry
91,LEN,Steal My Sunshine,0.412,0.953,4,-8.103,1,0.533,0.457,0,0.232,0.553,191.718,audio_features,2GRnDQCkcN6BoujfUgywOW,spotify:track:2GRnDQCkcN6BoujfUgywOW,https://api.spotify.com/v1/tracks/2GRnDQCkcN6BoujfUgywOW,https://api.spotify.com/v1/audio-analysis/2GRnDQCkcN6BoujfUgywOW,248467,4,Terry
92,The The,This Is the Day,0.576,0.703,10,-10.913,1,0.0486,0.0237,0.0013,0.0752,0.684,141.567,audio_features,3zf2eLN9Yf8ayZO5cn4Xh5,spotify:track:3zf2eLN9Yf8ayZO5cn4Xh5,https://api.spotify.com/v1/tracks/3zf2eLN9Yf8ayZO5cn4Xh5,https://api.spotify.com/v1/audio-analysis/3zf2eLN9Yf8ayZO5cn4Xh5,296333,4,Terry
93,Eurythmics,Love Is a Stranger,0.775,0.441,5,-15.16,1,0.0308,0.00341,1.55E-06,0.147,0.534,122.085,audio_features,5Arj4zfiBuwd61q9TJ7NSa,spotify:track:5Arj4zfiBuwd61q9TJ7NSa,https://api.spotify.com/v1/tracks/5Arj4zfiBuwd61q9TJ7NSa,https://api.spotify.com/v1/audio-analysis/5Arj4zfiBuwd61q9TJ7NSa,221600,4,Terry
94,Moby,In My Heart,0.557,0.79,4,-10.03,1,0.0291,0.00109,0.0585,0.25,0.172,114.005,audio_features,2rqZhKrPKD4EvnXpu56Kow,spotify:track:2rqZhKrPKD4EvnXpu56Kow,https://api.spotify.com/v1/tracks/2rqZhKrPKD4EvnXpu56Kow,https://api.spotify.com/v1/audio-analysis/2rqZhKrPKD4EvnXpu56Kow,276693,4,Terry
95,U2,Sunday Bloody Sunday,0.343,0.985,6,-3.174,1,0.138,0.409,0.00119,0.0517,0.724,201.057,audio_features,6qa36OkEeQqGaWlOcpjlGD,spotify:track:6qa36OkEeQqGaWlOcpjlGD,https://api.spotify.com/v1/tracks/6qa36OkEeQqGaWlOcpjlGD,https://api.spotify.com/v1/audio-analysis/6qa36OkEeQqGaWlOcpjlGD,279960,4,Terry
96,The Doors,Light My Fire,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16E-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4,Terry
97,The Doors,L.A. Woman,0.354,0.731,2,-9.178,1,0.0382,0.0812,0.00124,0.115,0.697,170.633,audio_features,6DmfWj5kOa1fX8AwN9byOn,spotify:track:6DmfWj5kOa1fX8AwN9byOn,https://api.spotify.com/v1/tracks/6DmfWj5kOa1fX8AwN9byOn,https://api.spotify.com/v1/audio-analysis/6DmfWj5kOa1fX8AwN9byOn,471160,4,Terry
